댓글 작성자,댓글 내용,댓글 작성 시간
몽구스,하마스가 민간인 1500명 먼저 죽였음?,2024-09-30 15:37:39
DJ H,미국에 선물 줬구만. 해리스가 되든 트럼프가 되든 자신을 인정해달라는 뜻이네,2024-09-30 15:37:42
성수,거거는 니생각 이사랑은근히 헤즈볼라편드네,2024-09-30 15:37:45
KorGuys,역시 친미 해야 평화롭다. 사우디 팝콘먹으면서 구경 중,2024-09-30 15:37:47
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:37:49
rtlkfcb,ㅇㅇ 하마스가 먼저 죽임,2024-09-30 15:37:49
딥슬로,응아니야 ~,2024-09-30 15:37:50
mifa soul,전쟁도 현금이 있어야 한다.,2024-09-30 15:37:50
그냥,팔레스타인들이 나라없이 떠돌게 된것을 보면 우리 선조들이 나라 빼앗기고 만주로 러시아로 중국으로 떠돌며 독립운동 한걸 생각 좀 쌉시다,2024-09-30 15:37:54
네메시스,전쟁의 특화된 이스라엘:hand-orange-covering-eyes:,2024-09-30 15:37:56
"복덩이, 꽃비",이스라엘이 돈이 많아서 미국의 요지요지를 차지하고 있으니까,2024-09-30 15:37:58
gung cheon,화끈하구만~~,2024-09-30 15:38:00
순풍,이스라엘핵잇다 핵잇음 게임끝,2024-09-30 15:38:01
몽구스,선빵쳤으면 할말없넹,2024-09-30 15:38:02
rtlkfcb,팔레스타인 나라 빼앗긴적 없음,2024-09-30 15:38:04
rtlkfcb,팔레스타인 땅이 아랍인 소유였던 적 자체가 없음,2024-09-30 15:38:12
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:38:13
plin,하마스가 선제 공격하고 민간인들 납치해갔지,2024-09-30 15:38:16
plin,뭘봤냐,2024-09-30 15:38:17
M-J,팔레스타인 땅은 본래 오스만 식민지였음..,2024-09-30 15:38:20
딥슬로,응아니야 ~,2024-09-30 15:38:21
일신우일신,굴러온돌이 박힌돌 빼낸거죠,2024-09-30 15:38:21
일장춘몽,아무래도 신은 이스라엘 편이었던 모양이군,2024-09-30 15:38:23
장자,이란은 뭐하냐? 핵무기를 써라 ㅎ,2024-09-30 15:38:24
탈출지구,이스라엘 콘서트 처 들어가서 민간인 1200명 죽이고.. 포로 300명 대려감.. 포로 거의 다 죽음...ㅋ,2024-09-30 15:38:25
M-J,팔레스타인이라는 나라는 존재 안함,2024-09-30 15:38:27
rtlkfcb,"오스만 땅이었고 아랍이 오스만 뒤통수 치고 영국하고 편먹었다가, 영국이 배신 때리니 열받아서 지금까지 저러는 것임",2024-09-30 15:38:31
Cheong NoluGwi,이란대통령이 진짜 대통령인줄아나봄.ㅋㅋ 이란대통령 선출은 독재자 지명한 8명과 +몇명더해서 거기서 후보를 선출함..ㅋ그런데 선거가 무슨의미야..ㅋㅋㅋ,2024-09-30 15:38:33
딥슬로,응아니야 ~,2024-09-30 15:38:33
mifa soul,헤즈볼라 작전사령관 아파트 4층만 핀셋으로 로켓공격 영상보고 깜놀함,2024-09-30 15:38:36
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:38:37
일장춘몽,야훼의 승리인가? 알라의 승리인가? 이거참 궁금하구만,2024-09-30 15:38:42
Alexandros17able,중동 대전쟁 가자,2024-09-30 15:38:48
마초킹,한국의 주적은 반성없는 일본이다,2024-09-30 15:38:48
그때 걸마,하마스가 1500 명 죽이기전에 이스라엘은 팔레스타인. 100000명도 넘게 죽였다.,2024-09-30 15:38:49
백도련,   동맹 든든합니다,2024-09-30 15:38:50
그냥,팔레스타인 보호구역도 용납하지 않으니 문제지,2024-09-30 15:38:51
rtlkfcb,한마디로 팔레스타인은 자기 주인인 오스만 등에 칼 꼽고 영국한테 사기 당한 순간부터 역사 꼬인 것임.,2024-09-30 15:38:55
일장춘몽,현재로썬 야훼가 이길 거 같지만,2024-09-30 15:39:00
"복덩이, 꽃비",전쟁을 하더라도 네타냐후부터 제거하고 한다면 이스라엘을 편들수 있음ᆢ,2024-09-30 15:39:06
의자황,지금 전쟁은 이스라엘이 하지만 그걸 조종하는것은 미국이야 ,2024-09-30 15:39:07
내맘이야,애훼가 알라고 알라가 하나님,2024-09-30 15:39:09
GPTV,이-이 공중전 한번 해라. ,2024-09-30 15:39:09
탈출지구,먼져 민간인 학살한 넘이 잘못 한거지 모.. 만약 미국 1500명 죽었다면 어캐 됏을까...ㅋ,2024-09-30 15:39:14
GPTV,볼만하겠다,2024-09-30 15:39:19
의자황,미국은 이스라엘을 꼭두각시로 해서 중동국가들을 정리하는것임,2024-09-30 15:39:23
네메시스,엔릴 엔키의 대리전:hand-orange-covering-eyes:,2024-09-30 15:39:25
rtlkfcb,팔레스타인은 인간이 찌질하면 어디까지 갈 수 있는지 보여줌,2024-09-30 15:39:27
M-J,본래 식민지 운명은 강대국 맘임..한국도 그래서 갈라진거,2024-09-30 15:39:27
솟다,이스라엘이 뒤지구 싶어 환장했구나 아랍을 하나로 만들겠어,2024-09-30 15:39:32
"복덩이, 꽃비",미국 대선이 끝나면...,2024-09-30 15:39:37
아니아니,이스라엘 이미 4만명 이상 죽여서 복수함 ,2024-09-30 15:39:39
rtlkfcb,찌질함을 경계해라,2024-09-30 15:39:39
그냥,대한민국도 코가 석자,2024-09-30 15:39:40
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:39:47
뮤직헌터music hunter ☕,북폭:hand-pink-waving::hand-pink-waving::hand-pink-waving:,2024-09-30 15:39:52
rtlkfcb,"선악 따지기 전에, 일단 찌질함을 극복해라",2024-09-30 15:39:53
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:39:53
장자,죽음은 천국이다 이란은 핵을 써라 ㅎ,2024-09-30 15:39:54
네메시스,아랍은 모래알:hand-orange-covering-eyes:,2024-09-30 15:39:56
Cheong NoluGwi,진짜 왜 자꾸 이란대통령을 울나라처럼 진짜 대통령위치로 생각하지..그냥 진짜로 바지사장인데...ㅋ 대통령후보를 독재자가 지명하는데..선거가 무슨의미야,2024-09-30 15:39:56
오잉,이스라엘 화이팅!!!,2024-09-30 15:40:02
있을때하자,저전쟁은 안끝날거같다,2024-09-30 15:40:03
의자황,미국은 본인들이 전쟁 하기 어려우니까 이스라엘을 조정하는거,2024-09-30 15:40:04
내맘이야,코란에 서 예수님칭찬90% 그러나 신은 알라한분,2024-09-30 15:40:05
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:40:06
그냥,정시라간 정권이 독립기념관을 짓는다고 ?,2024-09-30 15:40:08
있을때하자,인종도 다르고 종교도 다르고,2024-09-30 15:40:08
구영탄,독하네 1700킬로는 날라가서 조지고 오네,2024-09-30 15:40:08
뮤직헌터music hunter ☕,북폭,2024-09-30 15:40:11
十二,ㅋㅋ 쟤네가 테러행위로 팔레스타인 영토 회복 외치는거랑 조선이 도시락폭탄으로 주권 회복 외치는거 똑같은거 아니냐?,2024-09-30 15:40:12
일신우일신,유대인들은 갈대아 우르에서 팔레땅으로 이주해온 이주민들 땅이없어 섞여삶,2024-09-30 15:40:14
"복덩이, 꽃비",미국 말도 안듣는 네타냐후,2024-09-30 15:40:15
있을때하자,서로 죽이고 죽여서 안끝난다,2024-09-30 15:40:17
rtlkfcb,현재 팔레스타인에 사는 아랍인들은 그 곳에 나라를 가져본 적이 없음. 근데 자기 땅이라고 내놓으라고 우기는 중 ㅋㅋ,2024-09-30 15:40:22
저출산 문제,미국 똑똑하네 ㅋㅋ,2024-09-30 15:40:23
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:40:26
M-J,무슬림끼리도 엄청나게 증오하고 싸움..십자군 전쟁 시기에도 지들끼리 싸우고 있었음.,2024-09-30 15:40:27
아니아니,미국도 원하는거지 ,2024-09-30 15:40:27
반달곰 투투,전쟁도. 돈이있어야하는것은. 조선이대부터 겪었던사실이다. 십만 양병설도 농사짓고는 엄두도못낸다,2024-09-30 15:40:29
고성연,군사작전은 미국도 이스라엘을 못따라간다! 미국은 소말리아 특공작전 펼첬다 미해병대 비참한 꼴을 보였고 자존심을 구겼다. 영화도 나오고! 이스라엘은 다르다! 우간다 엔테베 공항 기습작전을 성공해 세계를 놀라게했다! 미국없이도 단독으로 적지에들어가 작전을 수행 할수 있는 나라다!,2024-09-30 15:40:31
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:40:32
rtlkfcb,자기꺼인 적이 없는데 다시 돌려달래,2024-09-30 15:40:32
의자황,지금 사실상 중동국가와 전쟁 하는건 미국이야..이스라엘은 미국의 대리인,2024-09-30 15:40:32
그때 걸마,네타냐후 가 일부러 국경 뚤리게 만든것 인줄도 모름 미국이 정보를 줬는데 방어준비 안 했다고 함,2024-09-30 15:40:33
마루,답답하다 이란은 핵완성때까지 지금 조용히있지... 전문가란사람이.,2024-09-30 15:40:35
아니아니,미국이 원하니 이스라엘을 가만 나두는거지 ,2024-09-30 15:40:36
일신우일신,굴러온돌이 박힌돌 빼낸거임,2024-09-30 15:40:37
오잉,이스라엘 화이팅~~~,2024-09-30 15:40:42
十二,쟤네는 지들한테는 이봉창이고 윤봉길이고 안중근이겠지,2024-09-30 15:40:43
저출산 문제,이란없애려고 이스라엘 이용하네,2024-09-30 15:40:44
천사,이스라엘 화이팅,2024-09-30 15:40:45
rtlkfcb,박힌 돌인 적이 없다니깐?,2024-09-30 15:40:46
장자,핵은 폼으로 가지고 있냐 ㅎ,2024-09-30 15:40:50
의자황,걸프전을 비롯해서 미국은 50년동안 중동과 전쟁해왔음,2024-09-30 15:40:53
rtlkfcb,저 땅은 원래 오스만 투르크 땅임,2024-09-30 15:40:55
ju님,싸우면서 왠수로. 지내느니 우리나라. 집있고. 24시간. 치안 좋고. 왜. 저러고. 사는지. ㅡ 우리나라에서. 살오. ㅡ대대손손. 저러고. 사느니. 떠나겠다,2024-09-30 15:41:01
있을때하자,나는 무슨전쟁이던 조금 발전된나라가 낫지,2024-09-30 15:41:02
오순금,이스라엘민간인 살해하면서 결과를 어떻게 될줄알았을까? 팔레스타인 지도자 잘 선택해라.,2024-09-30 15:41:03
rtlkfcb,아랍은 오스만 치하에 세들어 살다가,2024-09-30 15:41:03
그때 걸마,이 모든게 네타냐후. 작전이다.,2024-09-30 15:41:04
구영탄,원래 오스만? ㅋㅋㅋ,2024-09-30 15:41:06
아니아니,현재 미국은 중동 하고 사이 좋음,2024-09-30 15:41:06
plin,? 빈라덴 목 딴것도 미국인데 ,2024-09-30 15:41:06
탈출지구,"이번 사태로 이스라엘이 하마스는 거의 죽여 졸거고, 후티도 힘 못 쓰게 해 놓을거다.. 아마도...",2024-09-30 15:41:07
오지훈, 핵은 핵 보호를 위해 쓰이는 거지 쏘기위해 존재하는게 아니다 ㅋㅋ ,2024-09-30 15:41:09
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:41:09
구영탄,그럼 원래 비잔틴이네,2024-09-30 15:41:10
그냥,일제의 태평양전쟁때 죽은 전범들을 위한 기념관을 만들려는 듯!,2024-09-30 15:41:12
rtlkfcb,영국하고 손잡고 오스만 뒤통수 때림. 근데 영국이 또 그걸 뒤통수 때림,2024-09-30 15:41:14
plin,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비잔틴,2024-09-30 15:41:16
kimᄌᄇ,미국 놈들이 이스라엘을 계속 밀어주고 있으니 계속 전쟁을 하지,2024-09-30 15:41:17
Kim Young,팔레스타인 이스라엘 둘 다 나라가 없었음,2024-09-30 15:41:17
Lux Heal,이란 쫄? 테러 사주 국가,2024-09-30 15:41:20
천사,저출산 빙의 들렷다 기도 해라 ,2024-09-30 15:41:20
plin,그럼 원래 다 로마네 ,2024-09-30 15:41:23
꼬끼오,마영석도 좌 빨 ?,2024-09-30 15:41:24
내맘이야,오스만 제국 인정,2024-09-30 15:41:24
일신우일신,오스만투루크보다 이전임,2024-09-30 15:41:27
plin,와 이탈리아한테 영토 다 줘라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:41:30
고성연,이란은 이스라엘 밥이라니까 이란 강한줄아네! 까불다 테헤란 평지가된다!,2024-09-30 15:41:33
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:41:34
rtlkfcb,팔레스타인은 원래 오스만 트루크 땅인데 영국이 오스만하고 싸워서 이긴 것임,2024-09-30 15:41:34
오잉,ㅈ도 아닌애들이 선빵 쳤으면 강냉이 다털려야지 엄살은,2024-09-30 15:41:35
장자,원점 포격을 했군 ㅎ,2024-09-30 15:41:36
있을때하자,한국 70년대다,2024-09-30 15:41:36
보미다,다 몽골땅이지,2024-09-30 15:41:38
M-J,그리고 애초에 땅이라는 건 주인이 없습니다. 힘 이 있는 자가 먹는 거,2024-09-30 15:41:38
ju님,저러면. 즈오는. 끝을. 못내,2024-09-30 15:41:39
Like,팔레스타인 아빠 김정은 푸틴 무슬림들 우리나라 유튜버들 역사왜곡 하지마라:face-blue-smiling::face-blue-smiling::face-blue-smiling:,2024-09-30 15:41:39
탈출지구,앞으로 한 10년 간은 후티가 힘 못 쓸걸...ㅎ,2024-09-30 15:41:41
rtlkfcb,오스만이 저 땅 먹은게 중세시대인데,2024-09-30 15:41:43
오지훈,오스만 투르크보다 이전이면 도대체 몇년전임? ㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:41:43
의자황,지금 전쟁은 미국이 하는거야.. 이스라엘을 이용해서 ,2024-09-30 15:41:43
구영탄,그러니까 원래 누구거임 이런거 의미 없단다,2024-09-30 15:41:44
삼동이,언제적 역사관이야? 우리도 몽골땅이냐?,2024-09-30 15:41:49
rtlkfcb,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:41:50
그때 걸마,우리도 힘있으면 만주 우리것야,2024-09-30 15:41:52
M-J,유대인들 퇴출 된 땅에 다른 민족이 살았던 것 뿐,2024-09-30 15:41:53
GPTV,재명이가 시키드냐,2024-09-30 15:41:54
구영탄,누구거임 이런거 의미 없다고,2024-09-30 15:41:54
저출산 문제,그냥 팔레스타인이 거기땅양보하면 끝나는거아녀,2024-09-30 15:41:55
이호상,하메네이지 하메이니가 아니다. 이니는 옛날 호메이나고.,2024-09-30 15:41:56
rtlkfcb,그 이전으로 가면 4세기까지 유대인 땅이었는데?,2024-09-30 15:41:57
반달곰 투투,이사라에게 필요한무기는. 핵무기보다는 차라붐바다,2024-09-30 15:41:58
있을때하자,이슬람애들 상태 진짜 이상해,2024-09-30 15:41:58
아니아니,이스라엘이 미국 이니깐,2024-09-30 15:42:00
내맘이야,오스만하고 십자군이싸운거지 200년동안,2024-09-30 15:42:02
rtlkfcb,그런 논리면 저 땅은 원래 유대인 땅임,2024-09-30 15:42:04
의자황,미국 = 이스라엘,2024-09-30 15:42:08
일신우일신,돌궐제국 오스만투르크,2024-09-30 15:42:10
탈출지구,이스라엘이 전쟁만 하고 끝내겟냐.. 정치적으로도 먼가를 이끌어 내겟지...,2024-09-30 15:42:10
있을때하자,거기다가 못사는 이슬람애들은 한명만와도 한국이 감당못한다,2024-09-30 15:42:11
자탄날,우리도 북한이나 중국하고 전쟁하면 어떻게 될려나,2024-09-30 15:42:11
구영탄,오스만하고 십자군은 왜싸워,2024-09-30 15:42:14
M-J,땅은 주인이 없어요 ,2024-09-30 15:42:14
rtlkfcb,그렇게 한없이 과거로 갈꺼면,2024-09-30 15:42:15
Sanghoon.,재명이가 시키드나에 빵터짐 ㅋㅋ,2024-09-30 15:42:16
오잉,ㅈ도 아닌애들이 선빵 쳤으면 강냉이 다털려야지 엄살은,2024-09-30 15:42:17
이호상,저런 것들이 해설을 한다고 ㅉㅉㅉ,2024-09-30 15:42:18
구영탄,ㅋㅋㅋㅋ,2024-09-30 15:42:18
고성연,위대한 이스라엘!,2024-09-30 15:42:22
rtlkfcb,유대인이 땅주인 하다가 이슬람이 빼앗은건데,2024-09-30 15:42:24
구영탄,역사도 모르는게 쳐 내뱉고 있네,2024-09-30 15:42:25
rtlkfcb,그럼 이건 괜찮음?,2024-09-30 15:42:26
아오,답도없는 과거타령 전쟁으로 새판짜야지,2024-09-30 15:42:27
김희호,중동의 평화는 이스라엘이 가자지구를,2024-09-30 15:42:29
저출산 문제,이스라엘 어떻게 이겨 뒤에 미국이 있는데,2024-09-30 15:42:35
그때 걸마,살라딘 은. 기독교인들 학살 안했는데,2024-09-30 15:42:35
Like,무슬림들 역사 왜곡 하지마라 미국 다큐 보면 이스라엘 땅이 맞고 팔레스타인 침입자들:face-blue-smiling:,2024-09-30 15:42:40
의자황,중동에 평화가 어디있냐 무지한 소리좀 하지마라! ,2024-09-30 15:42:43
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:42:44
구영탄,개드립이 난무하는구만,2024-09-30 15:42:46
plin,유대인 역사 잘 모르는듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:42:47
굿바이,아랍애들이 선넘긴 햇지,2024-09-30 15:42:47
탈출지구,이스라엘은 정치적으로 항복 및 불가침 약속을 받아야 끝낼거야,2024-09-30 15:42:47
rtlkfcb,과거를 운운하고 싶으면 2000년 전까지 가보시든가,2024-09-30 15:42:54
그냥,독도 조형물 없애고 다음에는 동해를 일본해로(미국 어떤 인간들이 미국이 동맹국이래? 동맹국이였던 적이 없는데) 미국이 인정했다네!,2024-09-30 15:42:57
백돌이,세계대전 시작하자,2024-09-30 15:42:57
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:43:03
쉿!중요한생각중이에요,"일단 누구랑 붙을거 같으면, 있는대로 다 쏟아부어서 눈도 못뜨게 만들어 놓고 시작해야된다",2024-09-30 15:43:05
의자황,지금 전쟁은 이스라엘이 하지만 그걸 독료하고 조정하는건 미국,2024-09-30 15:43:06
그때 걸마,살라딘,2024-09-30 15:43:07
Like,무슬림 들 역사 왜곡 하지마라:face-blue-smiling:,2024-09-30 15:43:12
강철영,그런식면 산동반도는 고조선의 땅이였음,2024-09-30 15:43:13
헤이맨,굿잡,2024-09-30 15:43:13
Cheong NoluGwi, 불타는 해적 후티본거지 보고싶다,2024-09-30 15:43:16
gominchan,이스라엘은 기독교가 아니라 유대교지,2024-09-30 15:43:16
고성연,말들 많다 미국 없이도 중동 모든국가들을 잠재울수 있는 나라가 이스라엘이다!,2024-09-30 15:43:18
아오,가자 헤즈볼라 후티 이스라엘 일당백 대단하다 대단해,2024-09-30 15:43:19
김김경봉,전쟁은. 승리해야만. 정의라고. 하드만. 지나온,2024-09-30 15:43:20
Cheong NoluGwi,와,2024-09-30 15:43:22
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:43:23
오잉,ㅈ도 아닌애들이 선빵 쳤으면 강냉이 다털려야지 엄살은,2024-09-30 15:43:26
rtlkfcb,"""원래 누구 땅"" 이라는 말은 애초에 말이 안됨",2024-09-30 15:43:28
이기현이,미국땅도 멕시코에 뺏은거 많응,2024-09-30 15:43:29
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:43:30
헤이맨,이스 화이팅,2024-09-30 15:43:30
아니아니,이란 손발 다 자르고 있는데 이란은 아무것도 못하고 있죠,2024-09-30 15:43:31
탈출지구,미국 잎장에서도 중동이 조용해지는게 좋다.. 그래야.. 중국에 전력을 다하지,2024-09-30 15:43:33
M-J,만주도 고구려 땅이었지만 근래까지 만주족 성지였음..,2024-09-30 15:43:35
그때 걸마,미국이 봐주는거지 절대 미국동의 없이 안된다.,2024-09-30 15:43:36
Cheong NoluGwi,후티 해적본거지 타는거봐라,2024-09-30 15:43:36
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:43:42
박성춘,애들아...이제 슬로바키아에서도 원전 한단다. 이거 우짜노? ㅋㅋㅋ:face-green-smiling::face-green-smiling::face-green-smiling:,2024-09-30 15:43:45
"복덩이, 꽃비",이스라엘 국민은 이중국적이. 많아서 전쟁이 길어질수록 스스로 자멸할 수도 있는데...,2024-09-30 15:43:46
의자황,고성연 >> 딱 눈앞만 보고 사는 인간 ,2024-09-30 15:43:46
푸른조사,예멘 후티반군도 싹쓸어 버려야 한다.,2024-09-30 15:43:48
rtlkfcb,한반도도 한국인 땅이 아니지,2024-09-30 15:43:48
밥묵은나?,쟈들이 싸우면서 역사를알까? 그냥 원수고 적이니 싸우는거 아닐까?ㅋㅋㅋ,2024-09-30 15:43:49
탈출지구,중국 생각하면.. 중동은 지금 확실히 밟아 놔야 됨,2024-09-30 15:43:50
오지훈,이란 할수 있는게 없음 미사일말고 뭘 할거임? 중간에 이라크가 있는데,2024-09-30 15:43:51
M-J,그냥 힘이 있는 민족이 먹는게 땅,2024-09-30 15:43:52
보미다,전쟁 끝나면 해외 테러로 또 난리날듯,2024-09-30 15:43:54
Png,이스라엘 이 곧 미국이다 골로간다,2024-09-30 15:44:02
이원희,흠..,2024-09-30 15:44:02
장정수,이스라엘 화이팅,2024-09-30 15:44:04
헤이맨,보수가 살아야 나라가산다,2024-09-30 15:44:05
고성연,큰일이다 후티 대변인 숨어다니게 생겼네,2024-09-30 15:44:06
rtlkfcb,제주도도 원래 다른 민족 살았던 땅인데 한국이 먹은 것이다,2024-09-30 15:44:06
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:44:06
Kim Young,이스라엘이 팔레스타인 괴롭힌걸 보면 테러가 너무 없었지 졸라 얌전한거야,2024-09-30 15:44:07
이원희,보미다 // 맞는 이야기죠,2024-09-30 15:44:07
네메시스,이란은 굿이나보고 떡만 먹을려고 조용하게:hand-orange-covering-eyes:,2024-09-30 15:44:09
그때 걸마,미국이 무기 공급 안하면 이스라엘 싸울수 없다.,2024-09-30 15:44:10
유상호,그냥 대빵들끼리 일기토해라 ,2024-09-30 15:44:10
탈출지구,중동이 어지러우면.. 중국이 유리해지는 거임,2024-09-30 15:44:11
의자황,미국 = 이스라엘이라고 ! 알아좀 들어라 벽창호들아! 지금 전쟁은 미국이 하는거야,2024-09-30 15:44:12
plin,전세계 곰이랑 호랑이들 우리꺼 단군신화 못봄? ,2024-09-30 15:44:16
rtlkfcb,한국은 제주도 반납하든지,2024-09-30 15:44:16
아오,ㅋㅋㅋ 후티대변인 볼수록 정가던데,2024-09-30 15:44:21
손흥메시로날도,이라다 지구 뽀개지것다 ,2024-09-30 15:44:25
일신우일신,ㅋㅋ,2024-09-30 15:44:26
M-J,제주는 몽골이 차지하다가 다시 수복한거,2024-09-30 15:44:28
아니아니,이란 손발 다 자르면 이란은 중동 영향력 잃어버림,2024-09-30 15:44:28
rtlkfcb,국제사회는 힘이 정의임,2024-09-30 15:44:30
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:44:30
일신우일신,머래누,2024-09-30 15:44:31
삼동이,미국이 자국민 죽어서 학살한다고해도 이해가 안갈텐데 히틀러한테 학살당했던 민족이 학살을한다? 이게 윤리적으로 맞냐는거야!! 심지어 푸틴도 윤리적으로 핵안쏘고있는데 말이지,2024-09-30 15:44:32
구영탄,무슨 십자군이 오스만제국하고 전쟁을 했니 ㅄ 드립은 뭐냐?,2024-09-30 15:44:32
M-J,땅은 주인이 본래 없다니까,2024-09-30 15:44:34
Tom,후티 대변인 요새 좀 쫄아있네 ㅋㅋ,2024-09-30 15:44:38
rtlkfcb,무슨 원래 누구 땅 이 ㅈㄹ ,2024-09-30 15:44:39
내맘이야,이스라엘이나라세운것은 유엔군편에서투쟁해서 군자금도 많이내고,2024-09-30 15:44:40
Png,이스라엘 정은이핵시설 폭격하라,2024-09-30 15:44:43
Steve_JayLee,후티 전나 깝치더니 누가 때리나했더니 이스라엘이 때리는구나 ㅋㅋ,2024-09-30 15:44:45
rtlkfcb,???,2024-09-30 15:44:46
plin,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 십자군 vs 오스만ㅋㅋㅋㅋㅋ 누가그랬어,2024-09-30 15:44:46
저출산 문제,보수가살긴 지금 선진국들도 진보성향이 더 많은거 모르냐?,2024-09-30 15:44:46
돈부코,후티 대변인도 죽었을려나,2024-09-30 15:44:47
M-J,힘이 있으면 언제든 땅은 얻을 수 있음.,2024-09-30 15:44:49
쉿!중요한생각중이에요,지구가 원래 한국꺼임. 단군 환웅이 똥을 뭉쳐서 던지자 해가 생기고 똥 찌끄레기가 목성 같은 행성이 된거임,2024-09-30 15:44:50
의자황,벽창호들 알아좀 들으라고! 지금 전쟁은 미국이 중동국가들고 하는거야 이스라엘 이용해서 ,2024-09-30 15:44:51
rtlkfcb,오스만하고 누가 십자군이 전쟁해 ㅋㅋㅋㅋㅋ,2024-09-30 15:44:51
돌아온 탕자,리포터 발음이 새는게 영 듣기가 그렇네요,2024-09-30 15:44:53
SMXD,:face-blue-smiling:이재명 징역 2년 구형,2024-09-30 15:44:54
rtlkfcb,영국이 오스만하고 전쟁했다고 ,2024-09-30 15:44:56
Like,우리나라도 단군왕검 고대 땅이라 독립 할수 있었다 역사 유물 유적 우리나라 땅이라는걸 증명해야 독립할수 있음:face-blue-smiling:,2024-09-30 15:44:58
박성춘,:face-green-smiling::face-green-smiling::face-green-smiling:하여간 하나님 믿으면 끝내 승리한다니까...:face-green-smiling::face-green-smiling::face-green-smiling:체코에 이어 슬로바키아도 원전잭팟:person-turqouise-waving::person-turqouise-waving::face-orange-raised-eyebrow:,2024-09-30 15:44:58
돈부코,후티 대변인 죽었을까나,2024-09-30 15:44:59
아오,글치 비겁한 겁쟁이가 정신승리하는겨,2024-09-30 15:45:02
고성연,이스라엘에서 생산해내는 무기들 어떤 무기들인줄 아느냐? 미국없이도 전쟁 할수 있는 나라라니까,2024-09-30 15:45:04
rtlkfcb,영국이 오스만하고 전쟁해서 이겨서 이스라엘 땅 따먹음,2024-09-30 15:45:04
일신우일신,원래 땅에 주인이 없지 하늘에 주인도 없고,2024-09-30 15:45:07
구영탄,말바꾸네 ㅄ,2024-09-30 15:45:08
남아,지구 멸망 가즈아~,2024-09-30 15:45:08
그냥,"대한민국 영토에 전범기 꽂아놓고 전범들을 위한 기념관을 만들어 기미가요 틀고 가미가재 동영상 틀려고 ..ㅈ 윤석열, 김건희 최악이다",2024-09-30 15:45:08
"복덩이, 꽃비",수박 겉만 아는 미국 배후설,2024-09-30 15:45:09
이원희,삼동이 // 독일은 이차대전 일으키기 전에 뒷통수 친 민족이 없지만 이스라엘은 있죠.... 팔레스타인이라고...,2024-09-30 15:45:10
솟다,rtlkfcb 이런전쟁이 일어나는게 미국 쇠약했기 때문이란다,2024-09-30 15:45:10
그때 걸마,미국 군수업체. ㄷ ㅐ목이다.,2024-09-30 15:45:11
아니아니,미국은 중동 하고 사이 좋음 현재 ,2024-09-30 15:45:15
김희호,중동 평화는 이스라엘이 가자지구를 합병하여 군사적으로 지배하여 하마스가 퇴출되어 최소한의 평화가 유지되어야 한다 ,2024-09-30 15:45:16
